iso3,country,UNregion,r,g0,delta_g_per_capita,population,total_deficit_usd,rank_by_total_deficit,rank_by_r_lowest,undernourish_pct,poverty_215_pct,has_gdp,has_socio,data_notes
MDG,Madagascar,Eastern Africa,0.1111111111111111,508.718427705591,22.60970789802627,31964956.0,722718318.1332622,106,58,39.5,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
JAM,Jamaica,Caribbean,0.3333333333333333,7542.40084275345,251.41336142511506,2839175.0,713806530.4241511,107,90,7.7,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
ARM,Armenia,Western Asia,0.4444444444444444,8159.08720967996,226.6413113799989,3033500.0,687516418.0712267,108,121,2.5,0.8,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
BFA,Burkina Faso,Western Africa,0.3333333333333333,873.482589651003,29.116086321700106,23548781.0,685648340.3668114,109,90,13.1,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
LBN,Lebanon,Western Asia,0.3333333333333333,3477.72489842684,115.92416328089469,5805962.0,673051286.89067,110,90,8.7,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
BWA,Botswana,Southern Africa,0.3333333333333333,7826.35376483298,260.87845882776605,2521139.0,657710856.8105752,111,90,24.0,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
GNQ,Equatorial Guinea,Middle Africa,0.0,6677.793435386,333.88967176930004,1892516.0,631891546.0581486,112,1,,,True,False,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
TJK,Tajikistan,Central Asia,0.0,1178.47990060249,58.9239950301245,10590927.0,624059729.9124115,113,1,8.4,6.1,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
BIH,Bosnia and Herzegovina,Southern Europe,0.5555555555555556,8663.02326458629,192.51162810191758,3164253.0,609155496.756377,114,131,2.5,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
NER,Niger,Western Africa,0.3333333333333333,638.336080897887,21.2778693632629,27032412.0,575192131.1099005,115,90,12.9,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
CYP,Cyprus,Western Asia,0.7777777777777777,36623.69140625,406.9299045138891,1358282.0,552725564.5629343,116,161,2.5,0.0,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
GAB,Gabon,Middle Africa,0.4444444444444444,7802.82433276138,216.7451203544828,2538952.0,550305456.8142548,117,121,25.3,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
MUS,Mauritius,Eastern Africa,0.2222222222222222,11269.9684462139,438.2765506860961,1245779.0,545995723.0371741,118,76,8.7,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
MKD,North Macedonia,Southern Europe,0.3333333333333333,8674.35846327485,289.1452821091617,1824359.0,527504797.72338814,119,90,2.5,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
GEO,Georgia,Western Asia,0.6666666666666667,8283.66960652261,138.06116010871014,3699557.0,510765131.30829936,120,155,2.5,4.2,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
SOM,Somalia,Eastern Africa,0.1111111111111111,596.885985135589,26.528266006026175,19009151.0,504279814.2767185,121,58,53.2,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
MCO,Monaco,Western Europe,0.0,256799.788612806,12839.9894306403,38631.0,496021631.69506544,122,1,,,True,False,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
CRI,Costa Rica,Central America,0.8888888888888888,16942.0268119375,94.1223711774306,5129910.0,482839293.126813,123,172,2.5,1.3,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
MNG,Mongolia,Eastern Asia,0.5555555555555556,5838.63108083902,129.74735735197822,3524788.0,457331928.2259646,124,131,2.5,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
MWI,Malawi,Eastern Africa,0.3333333333333333,633.214767978695,21.10715893262317,21655286.0,457081563.3334095,125,90,21.4,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
BEN,Benin,Western Africa,0.5555555555555556,1394.17784721831,30.981729938184667,14462724.0,448080209.1385019,126,131,14.3,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
TGO,Togo,Western Africa,0.1111111111111111,1055.01727877926,46.88965683463378,9515236.0,446166150.74055344,127,58,9.1,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
LTU,Lithuania,Northern Europe,0.8888888888888888,27786.0057829276,154.3666987940423,2888278.0,445853940.0594589,128,172,2.5,1.1,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
URY,Uruguay,South America,0.8888888888888888,23019.4221560046,127.88567864447006,3386588.0,433096104.6692186,129,172,2.5,0.2,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
LIE,Liechtenstein,Western Europe,0.0,206780.590353385,10339.02951766925,40450.0,418213743.9897212,130,1,,,True,False,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
ALB,Albania,Southern Europe,0.6666666666666666,9730.86921906893,162.1811536511489,2377128.0,385525361.41644824,131,146,5.4,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
GUY,Guyana,South America,0.5555555555555556,20473.7002190617,454.97111597914886,831087.0,378120579.8657629,132,131,2.5,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
MRT,Mauritania,Western Africa,0.3333333333333333,2135.78187606359,71.19272920211968,5169395.0,368023338.37379146,133,90,8.7,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
NAM,Namibia,Southern Africa,0.5555555555555556,4187.60500396525,93.05788897700556,3030131.0,281977594.1837828,134,131,18.1,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
MLT,Malta,Southern Europe,0.7777777777777777,40905.8059585057,454.508955094508,568847.0,258546055.5786456,135,161,2.5,0.4,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
LVA,Latvia,Northern Europe,0.8888888888888888,22710.2637544197,126.1681319689984,1866124.0,235445379.10251516,136,172,2.5,0.4,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
MDV,Maldives,Southern Asia,0.3333333333333333,12587.6126038651,419.5870867955034,527799.0,221457644.8235799,137,90,,,True,False,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
SLE,Sierra Leone,Western Africa,0.3333333333333333,758.329137378248,25.27763791260827,8642022.0,218449902.94879475,138,90,24.1,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
AND,Andorra,Southern Europe,0.0,46812.4261013102,2340.62130506551,81938.0,191785828.49445778,139,1,,,True,False,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
SWZ,Eswatini,Southern Africa,0.2222222222222222,3755.52111232464,146.04804325706934,1242822.0,181511721.21683744,140,76,14.7,,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
MDA,Moldova,Eastern Europe,0.7777777777777777,6799.58594644576,75.55095496050848,2402306.0,181496512.40735927,141,161,2.5,0.1,True,True,R from 8 V-Dem components (crosswalk) + real WB socio #9. See docs/indicator_crosswalk.md
