iso3,country,UNregion,r_placeholder,g0,delta_g_per_capita,population,total_deficit_usd,rank_by_total_deficit,rank_by_r_lowest,undernourish_pct,poverty_215_pct,has_gdp,has_socio,data_notes
COL,Colombia,South America,0.7000333333333332,7919.20886825345,118.77493434235474,52886363.0,6281574292.930939,44,150,3.9,8.5,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
PER,Peru,South America,0.5931222222222221,8452.37167056621,171.9541101135912,34217848.0,5883899602.842127,45,143,6.9,5.1,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
HUN,Hungary,Eastern Europe,0.4722222222222221,23292.3263882478,614.6586130232059,9562065.0,5877405610.537742,46,1,2.5,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
DNK,Denmark,Northern Europe,0.7271333333333332,71026.4832271897,969.0379861629586,5976992.0,5791932290.992114,47,173,2.5,0.4,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
QAT,Qatar,Western Asia,0.4722222222222221,76688.6941743178,2023.7294296000537,2857822.0,5783458485.958485,48,1,,,True,False,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
IRQ,Iraq,Western Asia,0.5909222222222221,6073.61032342708,124.22895070978606,46042015.0,5719751212.014231,49,142,14.9,0.5,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
UKR,Ukraine,Eastern Europe,0.4722222222222221,5389.47314453125,142.2222079806858,37860221.0,5384564225.256728,50,1,6.9,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
ROU,Romania,Eastern Europe,0.7262333333333332,20080.2096215595,274.8646027031138,19051804.0,5236666537.237595,51,170,2.5,0.7,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
CZE,Czechia,Eastern Europe,0.7283333333333332,31823.3078290564,432.26659801134974,10905028.0,4713879354.778513,52,191,2.5,0.0,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
CHL,Chile,South America,0.7271333333333332,16709.8893972307,227.978591009551,19764771.0,4505944644.206434,53,173,2.5,0.4,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
PRT,Portugal,Southern Europe,0.7271333333333332,29292.242104753,399.643823115847,10694681.0,4274063201.8444095,54,173,2.5,0.4,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
KWT,Kuwait,Western Asia,0.4722222222222221,32717.7186631255,863.3842424991453,4897263.0,4228219705.574092,55,1,2.5,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
MAR,Morocco,Northern Africa,0.4722222222222221,4153.1943359375,109.59818386501739,38081173.0,4173627400.249536,56,1,7.0,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
FIN,Finland,Northern Europe,0.7277333333333331,53149.7671934051,723.5454973928888,5619911.0,4066261299.798767,57,180,2.5,0.2,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
ETH,Ethiopia,Eastern Africa,0.4722222222222221,1133.88279681719,29.921907138231408,132059767.0,3951480084.8704767,58,1,19.7,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
GRC,Greece,Southern Europe,0.7265333333333331,24626.1481858973,336.72153286183595,10405134.0,3503632670.112807,59,171,2.5,0.6,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
KEN,Kenya,Eastern Africa,0.4722222222222221,2132.43452097647,56.272577636879085,56432944.0,3175627222.5176497,60,1,36.8,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
VEN,Venezuela,South America,0.4722222222222221,4217.59102643391,111.29754097533932,28405543.0,3161467085.969263,61,1,5.9,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
OMN,Oman,Western Asia,0.4722222222222221,20285.2272897377,535.304609034745,5281538.0,2827231634.192149,62,1,5.9,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
AGO,Angola,Middle Africa,0.4722222222222221,2665.87444776753,70.34946459386539,37885849.0,2665249192.8340306,63,1,22.5,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
ECU,Ecuador,South America,0.5761222222222221,6874.705739766,145.70174959240737,18135478.0,2642370874.294613,64,139,12.1,7.3,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
LKA,Sri Lanka,Southern Asia,0.4722222222222221,4515.56787322732,119.16081887683208,21916000.0,2611528506.504652,65,1,7.4,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
GTM,Guatemala,Central America,0.5695222222222222,6150.02571438505,132.37247014023336,18406359.0,2436495207.1179156,66,137,11.8,9.7,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
CIV,Côte d'Ivoire,Western Africa,0.4722222222222221,2727.8935220697,71.9860790546171,31934230.0,2298820005.328325,67,1,11.1,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
GHA,Ghana,Western Africa,0.4722222222222221,2390.77237652715,63.0898266027998,34427414.0,2172019579.6428022,68,1,6.3,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
TZA,Tanzania,Eastern Africa,0.4722222222222221,1186.71691894531,31.316140916612355,68560157.0,2147039537.8770669,69,1,20.2,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
BLR,Belarus,Eastern Europe,0.4722222222222221,8317.63399913792,219.49311942169516,9132629.0,2004549227.7310364,70,1,2.5,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
AZE,Azerbaijan,Western Asia,0.4722222222222221,7283.8499076179,192.2127058954724,10202830.0,1961113562.0915027,71,1,2.5,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
MMR,Myanmar,South-eastern Asia,0.4722222222222221,1359.05001560107,35.86381985613936,54500091.0,1954581445.767202,72,1,5.4,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
SVK,Slovakia,Eastern Europe,0.7256333333333331,25992.6748502048,356.5761778200598,5422069.0,1933380639.8966339,73,165,3.1,0.5,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
COD,DR Congo,Middle Africa,0.4722222222222221,649.383338556725,17.136504767469138,109276265.0,1872613236.1437209,74,1,38.5,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
PAN,Panama,Central America,0.6015222222222221,19161.2188501596,381.7659953462633,4515577.0,1723893747.9676936,75,147,5.7,3.1,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
DOM,Dominican Republic,Caribbean,0.7237333333333331,10875.6618443092,150.22914227605784,11427557.0,1716752086.4207606,76,158,3.6,0.8,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
UZB,Uzbekistan,Central Asia,0.7202333333333332,3161.70010632875,44.22691498736202,36361859.0,1608172846.7754447,77,154,2.5,2.7,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
BGR,Bulgaria,Eastern Europe,0.7253333333333332,17596.0173663521,241.6519718312357,6441421.0,1556582086.04513,78,164,2.5,1.0,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
UGA,Uganda,Eastern Africa,0.4722222222222221,1077.91278452817,28.444920702826717,50015092.0,1422675325.884583,79,1,22.0,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
JOR,Jordan,Western Asia,0.4722222222222221,4618.09592498567,121.86642024267742,11552876.0,1407907641.6275423,80,1,14.3,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
CMR,Cameroon,Middle Africa,0.4722222222222221,1830.00833684727,48.29188666680297,29123744.0,1406440544.560983,81,1,4.8,,True,True,R is PLACEHOLDER (socio real + avg 0.70 on other 8; modulated by poverty). See docs/.
