iso3,country,UNregion,r,g0,g0_year,vdem_year,delta_g_per_capita,population,total_deficit_usd,rank_by_total_deficit,rank_by_r_lowest,undernourish_pct,poverty_215_pct,has_gdp,has_socio,data_notes
CHL,Chile,South America,1.0,16709.8893972307,2026,2024,0.0,19764771.0,0.0,177,183,2.5,0.4,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
EST,Estonia,Northern Europe,1.0,31428.3547816104,2026,2024,0.0,1372341.0,0.0,177,183,2.5,0.3,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
FIN,Finland,Northern Europe,1.0,53149.7671934051,2026,2024,0.0,5619911.0,0.0,177,183,2.5,0.2,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
BEL,Belgium,Western Europe,1.0,56614.5679499036,2026,2024,0.0,11858610.0,0.0,177,183,2.5,0.1,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
SWE,Sweden,Northern Europe,1.0,57117.4877440616,2026,2024,0.0,10569709.0,0.0,177,183,2.5,0.8,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
URY,Uruguay,South America,1.0,23906.5133029408,2026,2024,0.0,3386588.0,0.0,177,183,2.5,0.2,True,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
CUB,Cuba,Caribbean,0.0,,2026,2024,,10979783.0,,,1,,,False,False,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
ERI,Eritrea,Eastern Africa,0.0,,2026,2024,,3535603.0,,,1,,,False,False,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
PRK,North Korea,Eastern Asia,0.0,,2026,2024,,26498823.0,,,1,,,False,False,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
SSD,South Sudan,Eastern Africa,0.0,,2026,2024,,11943408.0,,,1,22.3,,False,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
SYR,Syria,Western Asia,0.0,,2026,2024,,24672760.0,,,1,39.0,,False,True,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
YEM,Yemen,Western Asia,0.0,,2026,2024,,40583164.0,,,1,,,False,False,"R from 8 V-Dem components (crosswalk, year=2024) + real WB socio #9 + 2026-fresh G0 (GDP is the more dynamic variable). See docs/indicator_crosswalk.md"
