iso3,country,un_region,r,g0,g0_year,vdem_year,delta_g_per_capita,total_deficit_usd,population,ind1_name,ind1_raw,ind1_yes,ind2_name,ind2_raw,ind2_yes,ind3_name,ind3_raw,ind3_yes,ind4_name,ind4_raw,ind4_yes,ind5_name,ind5_raw,ind5_yes,ind6_name,ind6_raw,ind6_yes,ind7_name,ind7_raw,ind7_yes,ind8_name,ind8_raw,ind8_yes,ind9_name,ind9_raw,ind9_yes
MMR,Myanmar,South-eastern Asia,0.0,1359.05001560107,2026,2024,67.95250078005351,3703417476.190488,54500091.0,Existence of Legal Protections,-1.833,No,Independent Judiciary,-2.364,No,Law Enforcement Accountability,-1.951,No,Protection Against Arbitrary Detention,0.132,No,Freedom from Torture and Inhumane Treatment,-1.838,No,Civilian Protection in Conflict Zones,-1.951,No,Access to Justice,0.132,No,Freedom of Expression and Whistleblower Protections,0.041,No,Socioeconomic Conditions,"undernourish=5.4%, poverty=100.0% (thresh <=5% and <=10%)",No
DOM,Dominican Republic,Caribbean,0.4444444444444444,10875.6618443092,2026,2024,302.1017178974778,3452284601.071348,11427557.0,Existence of Legal Protections,0.63,No,Independent Judiciary,1.0425,No,Law Enforcement Accountability,2.326,Yes,Protection Against Arbitrary Detention,0.451,No,Freedom from Torture and Inhumane Treatment,1.292,No,Civilian Protection in Conflict Zones,2.326,Yes,Access to Justice,0.451,No,Freedom of Expression and Whistleblower Protections,0.916,Yes,Socioeconomic Conditions,"undernourish=3.6%, poverty=0.8% (thresh <=5% and <=10%)",Yes
AGO,Angola,Middle Africa,0.3333333333333333,2665.87444776753,2026,2024,88.86248159225102,3366630559.3693013,37885849.0,Existence of Legal Protections,0.082,No,Independent Judiciary,-0.717,No,Law Enforcement Accountability,1.753,No,Protection Against Arbitrary Detention,0.577,Yes,Freedom from Torture and Inhumane Treatment,-0.153,No,Civilian Protection in Conflict Zones,1.753,No,Access to Justice,0.577,Yes,Freedom of Expression and Whistleblower Protections,0.531,Yes,Socioeconomic Conditions,"undernourish=22.5%, poverty=100.0% (thresh <=5% and <=10%)",No
LKA,Sri Lanka,Southern Asia,0.3333333333333333,4515.56787322732,2026,2024,150.51892910757735,3298772850.3216653,21916000.0,Existence of Legal Protections,1.043,No,Independent Judiciary,1.979,No,Law Enforcement Accountability,1.509,No,Protection Against Arbitrary Detention,0.661,Yes,Freedom from Torture and Inhumane Treatment,1.118,No,Civilian Protection in Conflict Zones,1.509,No,Access to Justice,0.661,Yes,Freedom of Expression and Whistleblower Protections,0.885,Yes,Socioeconomic Conditions,"undernourish=7.4%, poverty=100.0% (thresh <=5% and <=10%)",No
COD,DR Congo,Middle Africa,0.1111111111111111,649.383338556725,2026,2024,28.861481713632223,3153874924.031529,109276265.0,Existence of Legal Protections,-1.066,No,Independent Judiciary,-0.6795,No,Law Enforcement Accountability,-0.009,No,Protection Against Arbitrary Detention,0.263,No,Freedom from Torture and Inhumane Treatment,-0.739,No,Civilian Protection in Conflict Zones,-0.009,No,Access to Justice,0.263,No,Freedom of Expression and Whistleblower Protections,0.669,Yes,Socioeconomic Conditions,"undernourish=38.5%, poverty=100.0% (thresh <=5% and <=10%)",No
BGR,Bulgaria,Eastern Europe,0.4444444444444444,17596.0173663521,2026,2024,488.7782601764473,3148426549.4440312,6441421.0,Existence of Legal Protections,-0.687,No,Independent Judiciary,0.501,No,Law Enforcement Accountability,1.977,No,Protection Against Arbitrary Detention,0.635,Yes,Freedom from Torture and Inhumane Treatment,1.083,No,Civilian Protection in Conflict Zones,1.977,No,Access to Justice,0.635,Yes,Freedom of Expression and Whistleblower Protections,0.841,Yes,Socioeconomic Conditions,"undernourish=2.5%, poverty=1.0% (thresh <=5% and <=10%)",Yes
CIV,Côte d'Ivoire,Western Africa,0.3333333333333333,2727.8935220697,2026,2024,90.92978406899002,2903772638.309463,31934230.0,Existence of Legal Protections,0.648,No,Independent Judiciary,-0.269,No,Law Enforcement Accountability,0.649,No,Protection Against Arbitrary Detention,0.545,Yes,Freedom from Torture and Inhumane Treatment,0.865,No,Civilian Protection in Conflict Zones,0.649,No,Access to Justice,0.545,Yes,Freedom of Expression and Whistleblower Protections,0.713,Yes,Socioeconomic Conditions,"undernourish=11.1%, poverty=100.0% (thresh <=5% and <=10%)",No
TKM,Turkmenistan,Central Asia,0.0,6856.65802730208,2026,2024,342.832901365104,2569360493.6149693,7494498.0,Existence of Legal Protections,-1.353,No,Independent Judiciary,-2.6135,No,Law Enforcement Accountability,-0.569,No,Protection Against Arbitrary Detention,0.22,No,Freedom from Torture and Inhumane Treatment,-2.088,No,Civilian Protection in Conflict Zones,-0.569,No,Access to Justice,0.22,No,Freedom of Expression and Whistleblower Protections,0.068,No,Socioeconomic Conditions,"undernourish=4.3%, poverty=100.0% (thresh <=5% and <=10%)",No
SRB,Serbia,Southern Europe,0.4444444444444444,13679.2065983557,2026,2024,379.97796106543615,2502715721.0864296,6586476.0,Existence of Legal Protections,1.45,No,Independent Judiciary,-0.35950000000000004,No,Law Enforcement Accountability,1.621,No,Protection Against Arbitrary Detention,0.84,Yes,Freedom from Torture and Inhumane Treatment,1.94,No,Civilian Protection in Conflict Zones,1.621,No,Access to Justice,0.84,Yes,Freedom of Expression and Whistleblower Protections,0.504,Yes,Socioeconomic Conditions,"undernourish=2.5%, poverty=1.1% (thresh <=5% and <=10%)",Yes
SDN,Sudan,Northern Africa,0.0,984.607666015625,2026,2024,49.230383300781256,2483621785.6169314,50448963.0,Existence of Legal Protections,-1.31,No,Independent Judiciary,-1.0975,No,Law Enforcement Accountability,-0.373,No,Protection Against Arbitrary Detention,0.221,No,Freedom from Torture and Inhumane Treatment,-0.83,No,Civilian Protection in Conflict Zones,-0.373,No,Access to Justice,0.221,No,Freedom of Expression and Whistleblower Protections,0.272,No,Socioeconomic Conditions,"undernourish=100.0%, poverty=100.0% (thresh <=5% and <=10%)",No
